idDate,Year,Month,Day
1,2024,4,11
2,2024,6,7
3,2024,2,10
4,2024,5,20
5,2024,4,8
6,2024,3,20
7,2024,5,15
8,2024,1,10
9,2024,3,31
10,2024,3,2
11,2024,2,19
12,2024,1,22
13,2024,3,11
14,2024,1,17
15,2024,1,6
16,2024,6,25
17,2024,1,15
18,2024,3,20
19,2024,5,21
20,2024,3,16
21,2024,1,22
22,2024,5,3
23,2024,2,14
24,2024,6,4
25,2024,4,4
26,2024,1,2
27,2024,1,23
28,2024,5,21
29,2024,4,7
30,2024,3,26
31,2024,2,12
32,2024,4,30
33,2024,4,11
34,2024,1,31
35,2024,4,29
36,2024,1,10
37,2024,1,10
38,2024,4,25
39,2024,5,17
40,2024,5,21
41,2024,5,12
42,2024,2,6
43,2024,3,30
44,2024,3,22
45,2024,4,26
46,2024,3,6
47,2024,6,14
48,2024,2,22
49,2024,5,14
50,2024,5,23
51,2024,5,18
52,2024,5,25
53,2024,5,15
54,2024,4,15
55,2024,5,29
56,2024,4,25
57,2024,4,18
58,2024,3,19
59,2024,5,14
60,2024,2,16
61,2024,5,17
62,2024,6,7
63,2024,4,18
64,2024,4,19
65,2024,4,26
66,2024,4,9
67,2024,4,13
68,2024,1,15
69,2024,5,19
70,2024,6,15
71,2024,5,27
72,2024,5,3
73,2024,1,10
74,2024,1,22
75,2024,3,3
76,2024,5,28
77,2024,2,14
78,2024,1,4
79,2024,3,3
80,2024,2,9
81,2024,5,23
82,2024,6,4
83,2024,4,30
84,2024,4,10
85,2024,5,17
86,2024,2,2
87,2024,6,12
88,2024,3,23
89,2024,3,24
90,2024,1,26
91,2024,5,9
92,2024,5,2
93,2024,6,31
94,2024,1,21
95,2024,1,16
96,2024,4,22
97,2024,5,16
98,2024,5,17
99,2024,5,25
100,2024,6,19
101,2024,3,12
102,2024,2,29
103,2024,1,1
104,2024,6,27
105,2024,3,5
106,2024,4,8
107,2024,5,9
108,2024,5,2
109,2024,5,7
110,2024,6,10
111,2024,2,14
112,2024,6,3
113,2024,1,18
114,2024,2,28
115,2024,4,17
116,2024,1,9
117,2024,5,10
118,2024,1,19
119,2024,3,10
120,2024,2,18
121,2024,4,15
122,2024,1,25
123,2024,4,16
124,2024,1,20
125,2024,3,28
126,2024,2,16
127,2024,2,25
128,2024,6,15
129,2024,2,12
130,2024,2,10
131,2024,1,20
132,2024,4,8
133,2024,4,18
134,2024,6,24
135,2024,2,22
136,2024,1,15
137,2024,2,22
138,2024,4,7
139,2024,2,2
140,2024,5,3
141,2024,3,14
142,2024,6,29
143,2024,3,5
144,2024,3,24
145,2024,4,21
146,2024,1,17
147,2024,4,25
148,2024,4,3
149,2024,3,17
150,2024,2,26
151,2024,4,10
152,2024,2,31
153,2024,4,3
154,2024,6,8
155,2024,5,19
156,2024,4,19
157,2024,4,28
158,2024,5,17
159,2024,4,24
160,2024,4,8
161,2024,3,11
162,2024,6,30
163,2024,3,18
164,2024,4,10
165,2024,3,17
166,2024,6,16
167,2024,4,23
168,2024,4,27
169,2024,3,15
170,2024,2,21
171,2024,6,15
172,2024,6,15
173,2024,1,25
174,2024,6,29
175,2024,3,19
176,2024,3,12
177,2024,5,26
178,2024,2,5
179,2024,5,28
180,2024,4,15
181,2024,3,15
182,2024,2,18
183,2024,3,28
184,2024,2,11
185,2024,2,25
186,2024,2,26
187,2024,1,15
188,2024,1,14
189,2024,1,31
190,2024,4,29
191,2024,4,9
192,2024,1,11
193,2024,6,10
194,2024,2,31
195,2024,5,4
196,2024,6,26
197,2024,5,26
198,2024,1,25
199,2024,6,6
200,2024,1,25
201,2024,5,24
202,2024,6,10
203,2024,3,18
204,2024,5,11
205,2024,4,18
206,2024,3,16
207,2024,6,30
208,2024,3,26
209,2024,4,4
210,2024,3,13
211,2024,4,18
212,2024,5,3
213,2024,5,4
214,2024,3,3
215,2024,4,12
216,2024,5,17
217,2024,1,19
218,2024,6,18
219,2024,3,10
220,2024,4,18
221,2024,2,15
222,2024,4,15
223,2024,4,26
224,2024,3,31
225,2024,2,10
226,2024,1,3
227,2024,5,19
228,2024,3,13
229,2024,1,17
230,2024,1,26
231,2024,4,28
232,2024,4,27
233,2024,4,6
234,2024,1,8
235,2024,6,29
236,2024,5,28
237,2024,4,19
238,2024,2,3
239,2024,4,12
240,2024,4,4
241,2024,1,8
242,2024,6,27
243,2024,3,26
244,2024,5,9
245,2024,4,19
246,2024,5,3
247,2024,1,26
248,2024,3,1
249,2024,6,25
250,2024,5,12
251,2024,4,26
252,2024,4,9
253,2024,3,5
254,2024,5,5
255,2024,5,5
256,2024,2,13
257,2024,2,16
258,2024,1,4
259,2024,2,14
260,2024,1,19
261,2024,6,3
262,2024,4,6
263,2024,6,31
264,2024,2,15
265,2024,5,23
266,2024,3,28
267,2024,5,31
268,2024,4,31
269,2024,1,9
270,2024,3,22
271,2024,5,3
272,2024,5,24
273,2024,6,23
274,2024,6,5
275,2024,2,23
276,2024,6,12
277,2024,1,26
278,2024,2,20
279,2024,6,21
280,2024,4,1
281,2024,6,17
282,2024,3,12
283,2024,4,19
284,2024,2,18
285,2024,3,24
286,2024,2,18
287,2024,3,14
288,2024,3,2
289,2024,3,1
290,2024,4,25
291,2024,1,26
292,2024,6,7
293,2024,4,5
294,2024,6,31
295,2024,6,23
296,2024,3,9
297,2024,4,28
298,2024,5,12
299,2024,5,3
300,2024,6,21
301,2024,1,4
302,2024,5,29
303,2024,4,9
304,2024,2,29
305,2024,2,19
306,2024,1,2
307,2024,4,21
308,2024,6,29
309,2024,5,8
310,2024,3,13
311,2024,5,15
312,2024,6,23
313,2024,2,4
314,2024,6,15
315,2024,5,3
316,2024,4,18
317,2024,1,25
318,2024,5,30
319,2024,4,27
320,2024,3,6
321,2024,3,16
322,2024,2,3
323,2024,6,8
324,2024,3,7
325,2024,2,16
326,2024,3,20
327,2024,3,15
328,2024,6,11
329,2024,5,27
330,2024,4,30
331,2024,5,15
332,2024,4,27
333,2024,4,15
334,2024,5,28
335,2024,5,22
336,2024,3,23
337,2024,4,4
338,2024,4,24
339,2024,1,1
340,2024,1,30
341,2024,3,3
342,2024,3,23
343,2024,1,25
344,2024,2,13
345,2024,1,5
346,2024,3,30
347,2024,4,13
348,2024,5,15
349,2024,3,28
350,2024,5,22
351,2024,5,24
352,2024,2,1
353,2024,6,26
354,2024,2,18
355,2024,3,28
356,2024,4,23
357,2024,3,10
358,2024,2,29
359,2024,1,29
360,2024,1,26
361,2024,4,25
362,2024,3,29
363,2024,3,13
364,2024,5,12
365,2024,4,12
366,2024,4,24
367,2024,1,14
368,2024,3,17
369,2024,5,31
370,2024,6,25
371,2024,3,19
372,2024,3,20
373,2024,1,21
374,2024,2,10
375,2024,5,21
376,2024,6,18
377,2024,1,9
378,2024,2,17
379,2024,1,21
380,2024,1,15
381,2024,6,3
382,2024,4,5
383,2024,2,7
384,2024,2,6
385,2024,1,21
386,2024,3,2
387,2024,5,18
388,2024,2,4
389,2024,5,27
390,2024,1,1
391,2024,3,24
392,2024,1,4
393,2024,2,24
394,2024,2,7
395,2024,3,23
396,2024,5,18
397,2024,4,22
398,2024,3,12
399,2024,6,31
400,2024,1,28
401,2024,6,21
402,2024,2,30
403,2024,3,22
404,2024,6,29
405,2024,1,9
406,2024,3,18
407,2024,6,10
408,2024,1,22
409,2024,6,25
410,2024,4,3
411,2024,4,16
412,2024,6,20
413,2024,3,13
414,2024,1,30
415,2024,6,6
416,2024,2,28
417,2024,4,28
418,2024,4,2
419,2024,5,14
420,2024,6,20
421,2024,3,20
422,2024,4,28
423,2024,2,3
424,2024,5,29
425,2024,2,13
426,2024,5,28
427,2024,2,11
428,2024,2,12
429,2024,4,15
430,2024,4,14
431,2024,6,29
432,2024,4,31
433,2024,2,1
434,2024,3,14
435,2024,2,3
436,2024,2,18
437,2024,1,17
438,2024,6,25
439,2024,3,7
440,2024,2,19
441,2024,2,11
442,2024,5,12
443,2024,1,19
444,2024,1,20
445,2024,4,24
446,2024,3,14
447,2024,4,12
448,2024,1,1
449,2024,6,19
450,2024,4,28
451,2024,3,27
452,2024,1,18
453,2024,5,16
454,2024,2,22
455,2024,6,1
456,2024,1,30
457,2024,2,27
458,2024,4,19
459,2024,1,16
460,2024,1,2
461,2024,3,26
462,2024,3,7
463,2024,5,1
464,2024,4,30
465,2024,3,12
466,2024,2,24
467,2024,5,30
468,2024,2,14
469,2024,2,19
470,2024,2,2
471,2024,6,22
472,2024,1,29
473,2024,3,3
474,2024,5,19
475,2024,3,17
476,2024,6,12
477,2024,3,3
478,2024,1,18
479,2024,2,1
480,2024,3,7
481,2024,6,2
482,2024,5,27
483,2024,6,1
484,2024,3,22
485,2024,3,21
486,2024,1,20
487,2024,2,24
488,2024,2,2
489,2024,4,29
490,2024,3,23
491,2024,6,16
492,2024,1,25
493,2024,6,17
494,2024,1,25
495,2024,3,4
496,2024,3,31
497,2024,3,3
498,2024,5,2
499,2024,4,8
500,2024,3,27
